Timestamp,Gender,Age,1*2*3*4*5*6*7*8*9 R2 // 9*8*7*6*5*4*3*2*1R1,"In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ n _ ","Suppose there is an a test for brain tumors, which is 99% specific and sensitive. Meaning there are 1 % false positives. Suppose only 0.5% of the population have brain tumors. How high is the chance that I have a brain tumor if the test was positive?",Which words are more often in the english language?,Imagine that the U.S. is preparing for the outbreak of an unusual disease which is expected to kill 600 people. You have a choice between two programs: ,"An individual has been described by a neighbour as follows: ""Steve is very shy and withdrawn invariably helpful but with little interest in people or in the world of reality. A meek and tidy soul, he has a need for order and structure and a passion for detail"" Is Steve more likely to be a librarian or a farmer?","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ ing ","Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more likely?","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ l y","In four pages of an english novel (about 2000 words), how many words would you expect to find that have the form _ _ _ _ _ l _ ",Group
27/06/2018 08:30:24,female,22,1103,16+,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller. (Bankkauffrau),,,2
27/06/2018 08:31:29,female,25,10,8-10,2,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
27/06/2018 08:32:46,male,24,1000,11-15,1,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
27/06/2018 08:34:06,male,23,500000,3-4,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
27/06/2018 08:34:17,female,23,231,8-10,2,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
27/06/2018 08:35:35,female,28,0,8-10,5,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
27/06/2018 08:35:57,female,28,400000,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
27/06/2018 08:36:22,female,,10,8-10,10,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
27/06/2018 08:36:30,female,24,1000,16+,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
19/11/2018 17:02:04,male,32,10000,16+,10,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
24/04/2019 08:27:50,male,25,1056,8-10,1,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
24/04/2019 08:28:02,female,24,215,11-15,2,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
24/04/2019 08:28:02,female,23,1000,5-7,1,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,8-10,Linda is a bank teller and is active in the feminist movement.,,,2
24/04/2019 08:28:53,female,23,3567,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
24/04/2019 08:29:24,female,22,200000,5-7,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
24/04/2019 08:29:25,female,29,10000,16+,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
24/04/2019 08:30:16,male,22,100000,8-10,9,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
24/04/2019 08:30:55,male,23,4560,11-15,9,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,16+,Linda is a bank teller and is active in the feminist movement.,,,2
24/04/2019 08:31:52,female,24,362880,3-4,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,8-10,Linda is a bank teller. (Bankkauffrau),,,2
24/04/2019 08:32:10,female,23,500000,1-2,5,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:36:22,female,18,200,8-10,9,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:36:53,male,19,10,16+,5,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:36:57,Prefer not to say,22,10,16+,5,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",farmer,16+,Linda is a bank teller. (Bankkauffrau),,,2
03/05/2019 10:36:57,male,24,10024,5-7,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,11-15,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:37:02,female,20,10,16+,9,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:37:27,male,18,500,3-4,3,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller and is active in the feminist movement.,,,2
03/05/2019 10:37:36,male,20,1200,11-15,10,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,16+,Linda is a bank teller. (Bankkauffrau),,,2
